Country/Region,Confirmed,Deaths,Recovered,Active,Case_Fatality_Rate,Recovery_Rate,New deaths,New cases,New recovered,WHO Region
Tunisia,1455,50,1157,248,3.44,79.52,0,3,15,Eastern Mediterranean
Turkey,227019,5630,210469,10920,2.48,92.71,17,919,982,Europe
US,4290259,148011,1325804,2816444,3.45,30.9,1076,56336,27941,Americas
Uganda,1128,2,986,140,0.18,87.41,0,13,4,Africa
Ukraine,67096,1636,37202,28258,2.44,55.45,11,835,317,Europe
United Arab Emirates,59177,345,52510,6322,0.58,88.73,1,264,328,Eastern Mediterranean
United Kingdom,301708,45844,1437,254427,15.19,0.48,7,688,3,Europe
Uruguay,1202,35,951,216,2.91,79.12,1,10,3,Americas
Uzbekistan,21209,121,11674,9414,0.57,55.04,5,678,569,Europe
Venezuela,15988,146,9959,5883,0.91,62.29,4,525,213,Americas
Vietnam,431,0,365,66,0.0,84.69,0,11,0,Western Pacific
West Bank and Gaza,10621,78,3752,6791,0.73,35.33,2,152,0,Eastern Mediterranean
Western Sahara,10,1,8,1,10.0,80.0,0,0,0,Africa
Yemen,1691,483,833,375,28.56,49.26,4,10,36,Eastern Mediterranean
Zambia,4552,140,2815,1597,3.08,61.84,1,71,465,Africa
Zimbabwe,2704,36,542,2126,1.33,20.04,2,192,24,Africa
